"","x"
"1",2.22741711766667
"2",2.94253217033333
"3",1.683463899
"4",0.876590218333333
"5",1.960025744
"6",2.62272584533333
"7",1.36462538066667
"8",1.86944214433333
"9",1.669938171
"10",2.11458773233333
"11",1.829129746
"12",0.763760833
"13",0.876590218333333
"14",2.11458773233333
"15",1.08259935133333
"16",1.35109965266667
"17",2.07680743666667
"18",0.763760833
"19",1.51523506166667
"20",0.876590218333333
"21",1.36462538066667
"22",1.50170933366667
"23",1.40240567633333
"24",0.876590218333333
"25",2.28886933133333
"26",1.51523506166667
"27",1.640078298
"28",1.19542873666667
"29",1.50170933366667
"30",1.35109965266667
"31",1.669938171
"32",1.08259935133333
"33",1.36462538066667
"34",1.800834169
"35",1.08259935133333
"36",0.914370514
"37",1.989744496
"38",1.56316154733333
"39",1.169662292
"40",1.64769238533333
"41",2.120640494
"42",1.40240567633333
"43",1.04481905566667
"44",1.35462031166667
"45",2.55483753
"46",1.04481905566667
"47",1.24179092633333
"48",1.989744496
"49",2.11458773233333
"50",1.19542873666667
"51",1.19542873666667
"52",2.00781110866667
"53",0.876590218333333
"54",2.235031205
"55",1.04481905566667
"56",1.08259935133333
"57",0.763760833
"58",2.120640494
"59",1.640078298
"60",0.914370514
"61",1.00143345466667
"62",1.40240567633333
"63",1.522849149
"64",1.829129746
"65",2.00781110866667
"66",1.683463899
"67",1.04481905566667
"68",0.914370514
"69",1.68800478366667
"70",0.914370514
"71",1.08259935133333
"72",1.244323029
"73",2.248556933
"74",1.68800478366667
"75",2.07680743666667
"76",1.92971841466667
"77",1.40240567633333
"78",1.683463899
"79",1.989744496
"80",0.876590218333333
"81",3.049308794
"82",2.41418460966667
"83",2.176511988
"84",1.669938171
"85",1.76052177066667
"86",1.19542873666667
"87",1.00143345466667
"88",1.24179092633333
"89",0.876590218333333
"90",1.04481905566667
"91",1.683463899
"92",1.76052177066667
"93",0.876590218333333
"94",1.522849149
"95",1.84719635866667
"96",0.876590218333333
"97",1.04481905566667
"98",1.69848189466667
"99",0.914370514
"100",1.08259935133333
"101",1.08259935133333
"102",1.04481905566667
"103",1.479463548
"104",3.049308794
"105",1.08259935133333
"106",2.07680743666667
"107",1.28249167733333
"108",1.00143345466667
"109",1.19542873666667
"110",0.914370514
"111",0.763760833
"112",1.683463899
"113",2.07680743666667
"114",1.683463899
"115",1.522849149
"116",0.763760833
"117",1.640078298
"118",1.51523506166667
"119",2.07680743666667
"120",0.763760833
"121",0.876590218333333
"122",1.99428538066667
"123",1.50170933366667
"124",2.25499303466667
"125",1.00143345466667
"126",1.04481905566667
"127",1.60229800233333
"128",1.320271973
"129",2.120640494
"130",1.669938171
"131",0.876590218333333
"132",1.04481905566667
"133",1.522849149
"134",0.763760833
"135",1.04481905566667
"136",1.56316154733333
"137",1.522849149
"138",1.64769238533333
"139",2.59514992833333
"140",2.120640494
"141",2.11458773233333
"142",2.34166762266667
"143",2.337126738
"144",1.522849149
"145",1.08259935133333
"146",0.876590218333333
"147",2.235031205
"148",1.51977594633333
"149",1.75700111166667
"150",0.876590218333333
"151",0.876590218333333
"152",0.914370514
"153",1.36462538066667
"154",1.522849149
"155",0.876590218333333
"156",1.56316154733333
"157",0.876590218333333
"158",1.669938171
"159",1.522849149
"160",0.763760833
"161",1.36462538066667
"162",1.56316154733333
"163",0.876590218333333
"164",1.79478140733333
"165",1.64769238533333
"166",2.248556933
"167",1.40240567633333
"168",0.763760833
"169",0.763760833
"170",1.35462031166667
"171",1.76052177066667
"172",0.763760833
"173",1.00143345466667
"174",1.51523506166667
"175",1.36462538066667
"176",2.59514992833333
"177",1.04481905566667
"178",1.28210332466667
"179",2.55483753
"180",1.522849149
"181",1.40240567633333
"182",1.91619268666667
"183",0.876590218333333
"184",1.79478140733333
"185",1.00143345466667
"186",1.683463899
"187",1.58877227433333
"188",1.989744496
"189",1.08259935133333
"190",2.94253217033333
"191",1.683463899
"192",1.36462538066667
"193",2.395645955
"194",1.683463899
"195",1.00143345466667
"196",1.842655474
"197",1.51977594633333
"198",2.08032809566667
"199",1.28210332466667
"200",0.763760833
"201",2.11458773233333
"202",2.59514992833333
"203",2.12825458133333
"204",0.876590218333333
"205",1.960025744
"206",1.19542873666667
"207",1.522849149
"208",1.40240567633333
"209",2.00781110866667
"210",1.522849149
"211",1.90761079266667
"212",2.07680743666667
"213",1.522849149
"214",0.876590218333333
"215",1.683463899
"216",1.522849149
"217",1.08259935133333
"218",1.24179092633333
"219",1.683463899
"220",1.04481905566667
"221",1.64769238533333
"222",1.522849149
"223",1.989744496
"224",0.876590218333333
"225",1.36462538066667
"226",1.19542873666667
"227",1.19542873666667
"228",2.92900644233333
"229",1.19542873666667
"230",1.80830713533333
"231",1.04481905566667
"232",1.19542873666667
